# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 07:53:06 2025
#
# CONSTRAINT:  where (ml_modeldef like '1')
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag [Jupiter mass]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass]
# COLUMN pl_masseerr2:   Planet Mass Lower Unc. [Earth mass]
# COLUMN pl_masselim:    Planet Mass Limit Flag [Earth mass]
# COLUMN pl_orbsmax:     Planet-star Projected Semi-major Axis [au]
# COLUMN pl_orbsmaxerr1: Planet-star Projected Semi-major Axis Upper Unc.
# COLUMN pl_orbsmaxerr2: Planet-star Projected Semi-major Axis Lower Unc.
# COLUMN pl_orbsmaxlim:  Planet-star Projected Semi-major Axis Limit Flag
# COLUMN st_mass:        Lens Mass [Solar mass]
# COLUMN st_masserr1:    Lens Mass Upper Unc.
# COLUMN st_masserr2:    Lens Mass Lower Unc.
# COLUMN st_masslim:     Lens Mass Limit Flag
# COLUMN sy_dist:        Lens Distance [pc]
# COLUMN sy_disterr1:    Lens Distance Upper Unc.
# COLUMN sy_disterr2:    Lens Distance Lower Unc.
# COLUMN sy_distlim:     Lens Distance Limit Flag
# COLUMN ml_dists:       Source Distance [pc]
# COLUMN ml_distserr1:   Source Distance Upper Unc.
# COLUMN ml_distserr2:   Source Distance Lower Unc.
# COLUMN ml_distslim:    Source Distance Limit Flag
# COLUMN ml_tsepmin:     Time of Lens-source Minimum Separation [days]
# COLUMN ml_tsepminerr1: Time of Lens-source Minimum Separation Upper Unc.
# COLUMN ml_tsepminerr2: Time of Lens-source Minimum Separation Lower Unc.
# COLUMN ml_tsepminlim:  Time of Lens-source Minimum Separation Limit Flag
# COLUMN ml_sepminnorm:  Normalized Lens-source Minimum Separation
# COLUMN ml_sepminnormerr1: Normalized Lens-source Minimum Separation Upper Unc.
# COLUMN ml_sepminnormerr2: Normalized Lens-source Minimum Separation Lower Unc.
# COLUMN ml_sepminnormlim: Normalized Lens-source Minimum Separation Limit Flag
# COLUMN ml_xtimeein:    Einstein Crossing Time [days]
# COLUMN ml_xtimeeinerr1: Einstein Crossing Time Upper Unc.
# COLUMN ml_xtimeeinerr2: Einstein Crossing Time Lower Unc.
# COLUMN ml_xtimeeinlim: Einstein Crossing Time Limit Flag
# COLUMN ml_radsnorm:    Normalized Source Angular Radius (10^-3)
# COLUMN ml_radsnormerr1: Normalized Angular Radius Upper Unc.
# COLUMN ml_radsnormerr2: Normalized Angular Radius Lower Unc.
# COLUMN ml_radsnormlim: Normalized Angular Radius Limit Flag
# COLUMN ml_sepinsnorp:  Instantaneous Planet-star Projected and Normalized Separation
# COLUMN ml_sepinsnorperr1: Instantaneous Planet-star Projected and Normalized Separation Upper Unc.
# COLUMN ml_sepinsnorperr2: Instantaneous Planet-star Projected and Normalized Separation Lower Unc.
# COLUMN ml_sepinsnorplim: Instantaneous Planet-star Projected and Normalized Separation Limit Flag
# COLUMN ml_massratio:   Planet-star Mass Ratio (10^-4)
# COLUMN ml_massratioerr1: Planet-star Mass Ratio Upper Unc.
# COLUMN ml_massratioerr2: Planet-star Mass Ratio Lower Unc.
# COLUMN ml_massratiolim: Planet-star Mass Ratio Limit Flag
# COLUMN ml_angstlax:    Source Trajectory-lens Axis Angle [rad]
# COLUMN ml_angstlaxerr1: Source Trajectory-lens Axis Angle Upper Unc.
# COLUMN ml_angstlaxerr2: Source Trajectory-lens Axis Angle Lower Unc.
# COLUMN ml_angstlaxlim: Source Trajectory-lens Axis Angle Limit Flag
# COLUMN ml_magis:       Source I-band [mag]
# COLUMN ml_magiserr1:   Source I-band Upper Unc.
# COLUMN ml_magiserr2:   Source I-band Lower Unc.
# COLUMN ml_magislim:    Source I-band Limit Flag
# COLUMN ml_magibl:      Blend I-band [mag]
# COLUMN ml_magiblerr1:  Blend I-band Upper Unc.
# COLUMN ml_magiblerr2:  Blend I-band Lower Unc.
# COLUMN ml_magibllim:   Blend I-band Limit Flag
# COLUMN ml_radeinang:   Angular Einstein Radius [mas]
# COLUMN ml_radeinangerr1: Angular Einstein Radius Upper Unc.
# COLUMN ml_radeinangerr2: Angular Einstein Radius Lower Unc.
# COLUMN ml_radeinanglim: Angular Einstein Radius Limit Flag
# COLUMN ml_pmrells:     Lens-source Relative Proper Motion [mas/yr]
# COLUMN ml_pmrellserr1: Lens-source Relative Proper Motion Upper Unc.
# COLUMN ml_pmrellserr2: Lens-source Relative Proper Motion Lower Unc.
# COLUMN ml_pmrellslim:  Lens-source Relative Proper Motion Limit Flag
# COLUMN ml_modeldef:    Default Model
# COLUMN htmllink:       Reference
#
pl_name,rastr,ra,decstr,dec,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef,htmllink
OGLE-2018-BLG-0532L b,17h59m56.02s,269.983417,-28d59m51.9s,-28.997750,0.01959548,0.00284745,-0.00277194,0,6.22800000,0.90500000,-0.88100000,0,1.06400000,0.11900000,-0.11500000,0,0.19500000,0.02200000,-0.02000000,0,773.00000000,102.00000000,-99.00000000,0,,,,,2458219.57900000,0.00400000,-0.00400000,0,0.00829500,0.00035300,-0.00035300,0,133.26900000,5.84900000,-5.84900000,0,0.27340000,0.01050000,-0.01050000,0,1.01200000,0.00100000,-0.00100000,0,1.01500000,0.05700000,-0.05700000,0,-0.46500000,0.00500000,-0.00500000,0,,,,,,,,,1.35000000,,,0,3.58700000,0.19800000,-0.17000000,0,1,<a refstr=RYU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..183R/abstract target=ref>Ryu et al. 2020</a>
KMT-2016-BLG-1397L b,18h10m39.51s,272.664612,-24d51m27.86s,-24.857738,7.00000000,5.20000000,-4.30000000,0,2200.00000000,1700.00000000,-1400.00000000,0,5.10000000,1.50000000,-1.70000000,0,0.45000000,0.33000000,-0.28000000,0,6600.00000000,1100.00000000,-1300.00000000,0,,,,,2457506.50000000,0.10000000,-0.10000000,0,0.09000000,0.00300000,-0.00300000,0,41.00000000,0.50000000,-0.50000000,0,46.00000000,,,1,1.68000000,0.06000000,-0.06000000,0,160.00000000,20.00000000,-20.00000000,0,5.81000000,0.01000000,-0.01000000,0,,,,,17.47000000,,,-1,0.03300000,,,-1,,,,,1,<a refstr=ZANG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..236Z/abstract target=ref>Zang et al. 2018</a>
KMT-2019-BLG-0414L b,17h55m24.70s,268.852917,-21d53m43.94s,-21.895539,4.57000000,3.74000000,-2.06000000,0,1452.47581999,1188.67824218,-654.72651842,0,1.16000000,0.47000000,-0.51000000,0,0.74000000,0.43000000,-0.38000000,0,4410.00000000,1790.00000000,-1930.00000000,0,,,,,2458611.33200000,0.00500000,-0.00500000,0,0.00433000,0.00052000,-0.00052000,0,71.32000000,7.80000000,-7.80000000,0,5.00000000,,,1,0.34700000,0.06600000,-0.06600000,0,58.90000000,48.30000000,-26.50000000,0,2.98600000,0.06400000,-0.06400000,0,21.47600000,0.00300000,-0.00300000,0,,,,,0.14000000,,,-1,0.70000000,,,-1,1,<a refstr=HAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.132H/abstract target=ref>Han et al. 2022</a>
MOA-bin-1L b,17h51m10.20s,261.792500,-29d47m38.3s,-29.793972,3.70000000,2.10000000,-2.10000000,0,1200.00000000,670.00000000,-670.00000000,0,8.30000000,4.50000000,-2.70000000,0,0.75000000,0.33000000,-0.41000000,0,5100.00000000,1200.00000000,-1900.00000000,0,8000.00000000,,,0,2453893.80000000,1.80000000,-1.80000000,0,1.62000000,0.05000000,-0.05000000,0,31.20000000,4.30000000,-4.30000000,0,,,,,2.10000000,0.05000000,-0.05000000,0,47.00000000,16.00000000,-12.00000000,0,1.57800000,0.03500000,-0.03500000,0,20.23000000,,,0,,,,,0.77000000,0.11000000,-0.11000000,0,8.80000000,1.40000000,-1.40000000,0,1,<a refstr=BENNETT_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...757..119B/abstract target=ref> Bennett et al. 2012 </a>
OGLE-2013-BLG-0341L B b,17h52m07.49s,268.031208,-29d50m46.0s,-29.846111,0.00522000,0.00057000,-0.00057000,0,1.66000000,0.18000000,-0.18000000,0,0.70200000,0.02200000,-0.02200000,0,0.11270000,0.00890000,-0.00890000,0,911.00000000,70.00000000,-70.00000000,0,,,,,2456409.14800000,0.01800000,-0.01800000,0,0.00130000,0.00080000,-0.00080000,0,32.26000000,0.16000000,-0.16000000,0,3.05430000,0.01590000,-0.01590000,0,0.81500000,0.00300000,-0.00300000,0,0.44300000,0.02900000,-0.02900000,0,0.19900000,0.01060000,-0.01060000,0,18.61300000,0.00660000,-0.00660000,0,,,,,,,,,,,,,1,<a refstr=GOULD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Sci...345...46G/abstract target=ref>Gould et al. 2014</a>
KMT-2019-BLG-0842L b,17h53m50.03s,268.458458,-29d52m38.78s,-29.877439,0.03234000,0.01840000,-0.01660000,0,10.28000000,5.84000000,-5.28000000,0,3.31000000,1.38000000,-1.47000000,0,0.76000000,0.42000000,-0.39000000,0,3320.00000000,1220.00000000,-1390.00000000,0,8170.00000000,,,0,2458625.91400000,0.01000000,-0.01000000,0,0.00656500,0.00020200,-0.00020200,0,43.85900000,1.28700000,-1.28700000,0,0.42460000,0.09660000,-0.09660000,0,0.98300000,0.01300000,-0.01300000,0,0.40900000,0.02600000,-0.02700000,0,0.14600000,0.06700000,-0.06700000,0,21.73000000,0.01000000,-0.01000000,0,,,,,1.01000000,0.20000000,-0.15000000,0,8.42000000,1.68000000,-1.24000000,0,1,<a refstr=JUNG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..255J/abstract target=ref>Jung et al. 2020</a>
KMT-2018-BLG-1743L b,18h17m08.01s,274.283375,-26d21m34.70s,-26.359639,0.24500000,0.33900000,-0.13500000,0,77.86795971,107.74382997,-42.90683494,0,1.44900000,0.20900000,-0.22900000,0,0.19300000,0.26800000,-0.10700000,0,6483.00000000,936.00000000,-1026.00000000,0,,,,,2458249.12600000,0.00600000,-0.00600000,0,0.00025000,0.00051000,-0.00051000,0,28.03000000,1.21000000,-1.21000000,0,2.08000000,0.38000000,-0.38000000,0,1.04800000,0.00600000,-0.00600000,0,12.10000000,2.10000000,-2.10000000,0,0.82000000,0.06800000,-0.06800000,0,20.82900000,0.05500000,-0.05500000,0,,,,,0.18000000,0.04000000,-0.04000000,0,2.34000000,0.50000000,-0.50000000,0,1,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...652A.145H/abstract target=ref>Han et al. 2021</a>
MOA-2016-BLG-319L b,17h54m58.13s,268.742218,-29d45m01.67s,-29.750463,0.62000000,1.16000000,-0.33000000,0,200.00000000,369.00000000,-100.00000000,0,0.95000000,0.17000000,-0.20000000,0,0.15000000,0.28000000,-0.08000000,0,6800.00000000,1200.00000000,-1400.00000000,0,,,,,2457552.73700000,0.01300000,-0.01300000,0,0.26700000,0.01200000,-0.01200000,0,8.60000000,0.26000000,-0.26000000,0,10.00000000,,,1,0.81700000,0.00400000,-0.00400000,0,39.30000000,1.10000000,-1.10000000,0,4.64600000,0.00600000,-0.00600000,0,19.01000000,0.01000000,-0.01000000,0,,,,,0.10700000,,,0,,,,,1,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..226H/abstract target=ref>Han et al. 2018</a>
KMT-2017-BLG-2509L b,17h42m21.57s,265.589875,-26d19m01.74s,-26.317150,2.09000000,1.68000000,-1.26000000,0,664.26137063,533.95172376,-400.46379282,0,2.14000000,0.27000000,-0.39000000,0,0.46000000,0.37000000,-0.27000000,0,7040.00000000,890.00000000,-1270.00000000,0,,,,,2457872.20500000,0.15800000,-0.15800000,0,0.06600000,0.00700000,-0.00700000,0,67.39000000,5.37000000,-5.37000000,0,1.92700000,0.30100000,-0.30100000,0,0.92500000,0.00700000,-0.00700000,0,43.66000000,5.35000000,-5.34000000,0,2.53100000,0.02700000,-0.02700000,0,23.01300000,0.07700000,-0.07700000,0,19.96000000,,,0,0.24300000,0.11000000,-0.11000000,0,1.32000000,0.60000000,-0.60000000,0,1,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>
OGLE-2018-BLG-1647L b,17h55m50.97s,268.962375,-31d49m01.20s,-31.817000,0.97000000,1.78000000,-0.56000000,0,308.29355479,565.73456446,-177.98390792,0,1.36000000,0.20000000,-0.17000000,0,0.09200000,0.17000000,-0.05300000,0,7880.00000000,1180.00000000,-1000.00000000,0,,,,,2458373.52000000,0.04000000,-0.04000000,0,0.11000000,0.00540000,-0.00540000,0,52.31000000,1.92000000,-1.92000000,0,5.18000000,1.04000000,-1.04000000,0,1.43300000,0.01400000,-0.01400000,0,99.80000000,6.50000000,-6.50000000,0,5.36500000,0.00800000,-0.00800000,0,20.87000000,0.05000000,-0.05000000,0,,,,,91000.00000000,18000.00000000,-18000.00000000,0,,,,,1,<a refstr=GOULD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...664A..13G/abstract target=ref>Gould et al. 2022</a>
KMT-2019-BLG-0253L b,17h51m31.82s,267.882583,-29d33m55.7s,-29.565472,0.02894644,0.01573176,-0.01290004,0,9.20000000,5.00000000,-4.10000000,0,3.10000000,0.80000000,-0.90000000,0,0.70000000,0.34000000,-0.31000000,0,4900.00000000,1900.00000000,-1600.00000000,0,,,,,2458590.56180000,0.01830000,-0.01830000,0,0.05380000,0.00340000,-0.00340000,0,58.77000000,4.13000000,-4.13000000,0,0.00450000,,,1,0.92890000,0.00740000,-0.00740000,0,0.40700000,0.07500000,-0.07500000,0,1.02300000,0.00430000,-0.00430000,0,19.80000000,0.02000000,-0.02000000,0,,,,,0.23000000,,,-1,4.70000000,2.80000000,-2.10000000,0,1,<a refstr=HWANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...43H/abstract target=ref>Hwang et al. 2022</a>
OGLE-2003-BLG-235L b,18h05m16.35s,271.318125,-28d53m42.0s,-28.895000,2.60000000,0.80000000,-0.60000000,0,830.00000000,300.00000000,-200.00000000,0,4.30000000,2.50000000,-0.80000000,0,0.63000000,0.07000000,-0.09000000,0,5800.00000000,600.00000000,-700.00000000,0,8800.00000000,,,0,,,,,,,,,,,,,,,,,,,,,39.00000000,11.00000000,-7.00000000,0,,,,,19.63000000,0.06000000,-0.06000000,0,,,,,0.55000000,0.07000000,-0.07000000,0,3.30000000,0.40000000,-0.40000000,0,1,<a refstr=BENNETT_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...647L.171B/abstract target=ref>Bennett et al. 2006</a>
KMT-2016-BLG-1105L b,17h45m47.34s,266.447250,-26d15m58.93s,-26.266369,0.00729954,0.02337739,-0.00490831,0,2.32000000,7.43000000,-1.56000000,0,2.44000000,0.88000000,-0.75000000,0,0.41000000,0.25000000,-0.21000000,0,5080.00000000,2240.00000000,-2180.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68000000,2.76000000,-2.50000000,0,1,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>
KMT-2019-BLG-1216L b,17h53m55.35s,268.480625,-35d08m11.90s,-35.136639,0.09400000,0.05000000,-0.05000000,0,29.87587026,15.89142035,-15.89142035,0,2.44000000,1.12000000,-1.12000000,0,0.39000000,0.21000000,-0.21000000,0,2740.00000000,1020.00000000,-1020.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.52000000,0.25000000,-0.25000000,0,,,,,,,,,,,,,1,<a refstr=JUNG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..226J/abstract target=ref>Jung et al. 2023</a>
MOA-2011-BLG-293L b,17h55m39.35s,268.913958,-28d28m36.65s,-28.476847,4.80000000,0.30000000,-0.30000000,0,1500.00000000,100.00000000,-100.00000000,0,1.10000000,0.10000000,-0.10000000,0,0.86000000,0.06000000,-0.06000000,0,7720.00000000,440.00000000,-440.00000000,0,8350.00000000,490.00000000,-490.00000000,0,,,,,,,,,21.67000000,,,0,,,,,0.54800000,0.00500000,-0.00500000,0,53.00000000,2.00000000,-2.00000000,0,,,,,22.27000000,0.05000000,-0.05000000,0,,,,,0.26000000,0.02000000,-0.02000000,0,,,,,1,<a refstr=BATISTA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780...54B/abstract target=ref> Batista et al. 2014 </a>
MOA-2020-BLG-135L b,17h53m41.64s,268.423500,-29d48m27.24s,-29.807567,0.03555378,0.06040996,-0.02170983,0,11.30000000,19.20000000,-6.90000000,0,1.11000000,0.23000000,-0.20000000,0,0.23000000,0.39000000,-0.14000000,0,7900.00000000,1000.00000000,-1000.00000000,0,,,,,2459040.48790000,0.00200000,-0.00190000,0,0.03275000,0.00072000,-0.00072000,0,16.85000000,0.28000000,-0.27000000,0,,,,,0.99700000,0.09600000,-0.05400000,0,1.52000000,0.39000000,-0.31000000,0,2.38300000,0.02100000,-0.01300000,0,19.00400000,0.04500000,-0.04500000,0,,,,,0.13300000,0.01900000,-0.01800000,0,2.88000000,0.42000000,-0.40000000,0,1,<a refstr=ISHITANI_SILVA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..118I/abstract target=ref>Ishitani Silva et al. 2022</a>
OGLE-2017-BLG-1099L b,17h35m51.42s,263.964250,-29d35m09.10s,-29.585861,3.02000000,2.43000000,-1.81000000,0,959.84178914,772.32302901,-575.26941667,0,2.73000000,0.40000000,-0.53000000,0,0.45000000,0.36000000,-0.27000000,0,7250.00000000,1060.00000000,-1400.00000000,0,,,,,2457917.33600000,0.00400000,-0.00400000,0,0.00400000,0.00100000,-0.00100000,0,18.87000000,1.57000000,-1.57000000,0,1.53900000,0.01660000,-0.01660000,0,1.13700000,0.01400000,-0.01400000,0,64.20000000,7.79000000,-7.79000000,0,0.06500000,0.01400000,-0.01400000,0,22.79500000,0.06900000,-0.06900000,0,20.61000000,,,0,0.30400000,0.12500000,-0.12500000,0,5.89000000,2.47000000,-2.47000000,0,1,<a refstr=HAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...655A..21H/abstract target=ref>Han et al. 2021</a>
KMT-2016-BLG-2142L b,17h52m26.88s,268.112000,-29d23m04.42s,-29.384562,15.49000000,24.99000000,-8.58000000,0,4923.00000000,7943.00000000,-2730.00000000,0,0.83000000,0.15000000,-0.20000000,0,0.07300000,0.11700000,-0.04000000,0,7010.00000000,1010.00000000,-1160.00000000,0,,,,,2457612.54000000,0.04000000,-0.04000000,0,0.14000000,0.01000000,-0.01000000,0,5.15000000,0.22000000,-0.22000000,0,6.42000000,0.34000000,-0.34000000,0,0.97000000,0.01000000,-0.01000000,0,2030.00000000,110.00000000,-110.00000000,0,3.96000000,0.03000000,-0.03000000,0,,,,,,,,,0.12200000,0.01300000,-0.01300000,0,8.62200000,0.93400000,-0.93400000,0,1,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..208J/abstract target=ref>Jung et al. 2018</a>
OGLE-2018-BLG-0298L b,17h37m08.28s,264.284500,-29d42m32.80s,-29.709111,0.14000000,0.07000000,-0.06000000,0,44.49597698,22.24798849,-19.06970442,0,2.86000000,0.73000000,-0.80000000,0,0.69000000,0.34000000,-0.30000000,0,6540.00000000,950.00000000,-1230.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=JUNG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..262J/abstract target=ref>Jung et al. 2022</a>
MOA-2009-BLG-387L b,17h53m50.79s,268.461625,-33d59m25.0s,-33.990333,2.60000000,4.10000000,-1.60000000,0,830.00000000,1300.00000000,-510.00000000,0,1.80000000,0.90000000,-0.70000000,0,0.19000000,0.30000000,-0.12000000,0,5690.00000000,2180.00000000,-2190.00000000,0,,,,,2455042.36600000,0.01500000,-0.01500000,0,0.08900000,0.00100000,-0.00100000,0,40.10000000,0.50000000,-0.50000000,0,1.95000000,0.03000000,-0.03000000,0,0.91340000,0.00020000,-0.00020000,0,135.00000000,2.00000000,-2.00000000,0,4.30950000,0.00250000,-0.00250000,0,,,,,,,,,0.31000000,0.03000000,-0.03000000,0,,,,,1,<a refstr=BATISTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.102B/abstract target=ref> Batista et al. 2011 </a>
MOA-2012-BLG-505L b,17h52m34.34s,268.143097,-32d02m24.33s,-32.040093,0.02110000,0.03340000,-0.01100000,0,6.70000000,10.61000000,-3.51000000,0,0.90000000,0.25000000,-0.21000000,0,0.10000000,0.16000000,-0.05000000,0,7210.00000000,1140.00000000,-1110.00000000,0,,,,,2456136.05580000,0.00050000,-0.00050000,0,0.00760020,0.00085680,-0.00085680,0,9.83350000,1.05060000,-1.05060000,0,2.83220000,0.37030000,-0.37030000,0,1.12660000,0.06530000,-0.06530000,0,2.05210000,0.55280000,-0.55280000,0,2.37820000,0.01600000,-0.01600000,0,21.29000000,0.13000000,-0.13000000,0,,,,,0.12100000,0.02400000,-0.02400000,0,4.39710000,0.71960000,-0.71960000,0,1,<a refstr=NAGAKANE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>
OGLE-2019-BLG-1492L b,18h00m23.15s,270.096458,-28d37m52.1s,-28.631139,0.11672965,0.07897343,-0.06135386,0,37.10000000,25.10000000,-19.50000000,0,2.70000000,0.90000000,-0.90000000,0,0.68000000,0.34000000,-0.34000000,0,5600.00000000,1700.00000000,-2200.00000000,0,,,,,2458763.12000000,0.03200000,-0.03200000,0,0.04730000,0.00430000,-0.00430000,0,52.80000000,4.20000000,-4.20000000,0,0.00900000,,,1,0.90300000,0.01400000,-0.01400000,0,1.80000000,0.49000000,-0.49000000,0,2.14000000,0.02600000,-0.02600000,0,21.10000000,0.10000000,-0.10000000,0,,,,,0.03000000,,,-1,3.80000000,3.20000000,-1.70000000,0,1,<a refstr=HWANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...43H/abstract target=ref>Hwang et al. 2022</a>
OGLE-2017-BLG-1522L b,18h01m16.65s,270.319366,-28d27m43.1s,-28.461971,0.75000000,1.26000000,-0.40000000,0,240.00000000,400.00000000,-130.00000000,0,0.59000000,0.12000000,-0.11000000,0,0.04500000,0.07600000,-0.02400000,0,7490.00000000,910.00000000,-880.00000000,0,,,,,2457971.80000000,0.01000000,-0.01000000,0,0.05390000,0.00340000,-0.00340000,0,7.53000000,0.28000000,-0.28000000,0,6.00000000,0.70000000,-0.70000000,0,1.21000000,0.01000000,-0.01000000,0,159.00000000,16.00000000,-16.00000000,0,6.22000000,0.01000000,-0.01000000,0,,,,,,,,,0.06500000,0.00900000,-0.00900000,0,3.16000000,0.46000000,-0.46000000,0,1,<a refstr=JUNG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..219J/abstract target=ref>Jung et al. 2018</a>
KMT-2019-BLG-1806L b,18h02m09.01s,270.537542,-29d24m53.60s,-29.414889,0.01469346,0.00490831,-0.00503416,0,4.67000000,1.56000000,-1.60000000,0,3.02000000,0.70000000,-0.73000000,0,0.74000000,0.25000000,-0.25000000,0,6640.00000000,720.00000000,-2010.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13000000,0.74000000,-0.34000000,0,1,<a refstr=ZANG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..103Z/abstract target=ref>Zang et al. 2023</a>
OGLE-2017-BLG-1049L b,17h58m08.05s,269.533542,-27d08m39.20s,-27.144222,5.53000000,3.62000000,-2.87000000,0,1760.00000000,1150.00000000,-912.00000000,0,3.92000000,1.10000000,-1.32000000,0,0.55000000,0.36000000,-0.29000000,0,5670.00000000,1110.00000000,-1520.00000000,0,,,,,2457906.45300000,0.02700000,-0.02700000,0,0.18300000,0.00200000,-0.00200000,0,28.65200000,0.23900000,-0.23900000,0,2.38500000,0.04900000,-0.04900000,0,1.32000000,0.00300000,-0.00300000,0,95.34000000,3.86000000,-3.86000000,0,0.47800000,0.00300000,-0.00300000,0,,,,,,,,,0.52000000,0.11000000,-0.11000000,0,6.66000000,1.35000000,-1.35000000,0,1,<a refstr=KIM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020JKAS...53..161K/abstract target=ref>Kim et al. 2020</a>
MOA-2009-BLG-319L b,18h06m58.13s,271.742208,-26d49m10.9s,-26.819692,0.21200000,0.02000000,-0.02000000,0,67.30000000,6.20000000,-6.20000000,0,2.03000000,0.21000000,-0.21000000,0,0.52400000,0.04800000,-0.04800000,0,7050.00000000,710.00000000,-710.00000000,0,8250.00000000,860.00000000,-860.00000000,0,2455006.99520000,0.00080000,-0.00080000,0,-0.00610000,0.00040000,-0.00040000,0,16.72000000,0.10000000,-0.10000000,0,,,,,0.97560000,0.00010000,-0.00010000,0,3.85600000,0.02900000,-0.02900000,0,-2.62990000,0.00070000,-0.00070000,0,19.99400000,0.00700000,-0.00700000,0,,,,,0.29600000,0.00600000,-0.00600000,0,6.47200000,0.12100000,-0.12100000,0,1,<a refstr=TERRY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...54T/abstract target=ref>Terry et al. 2021</a>
